train_batch0,_step,confusion_matrix,metrics/mAP50(B),_timestamp,curves/F1-Confidence(B)_table,train_batch2,PR_curve,val_batch0_labels,val/cls_loss,metrics/precision(B),val_batch0_pred,P_curve,train_batch1,train/dfl_loss,confusion_matrix_normalized,model/parameters,labels,F1_curve,_runtime,model/GFLOPs,train/cls_loss,lr/pg0,val/dfl_loss,lr/pg1,val_batch2_labels,val_batch2_pred,train/box_loss,train_batch3330,train_batch3331,val_batch1_labels,results,curves/Precision-Recall(B)_table,lr/pg2,curves/Precision-Confidence(B)_table,val/box_loss,metrics/recall(B),curves/Recall-Confidence(B)_table,R_curve,metrics/mAP50-95(B),val_batch1_pred,model/speed_PyTorch(ms),train_batch3332,variant,seed,run_name,epoch
,60,,0.6664,1780035465.6473582,,,,,1.38725,0.67134,,,,1.71969,,,,,884.8537598,,1.37617,0.0001834497012552908,1.94634,0.0001834497012552908,,,1.4552,,,,,,0.0001834497012552908,,1.61537,0.62126,,,0.37064,,,,distill,1337,distill_seed1337,60
,61,,0.66629,1780035482.6037166,,,,,1.41533,0.68865,,,,1.6971,,,,,899.302520162,,1.34625,0.00017601829389220065,1.90933,0.00017601829389220065,,,1.41012,,,,,,0.00017601829389220065,,1.58312,0.60594,,,0.37578,,,,distill,1337,distill_seed1337,61
,62,,0.66297,1780035495.3278382,,,,,1.41074,0.67582,,,,1.71123,,,,,911.917149166,,1.36726,0.00016866236473929043,1.90959,0.00016866236473929043,,,1.44182,,,,,,0.00016866236473929043,,1.57695,0.6139,,,0.37403,,,,distill,1337,distill_seed1337,62
,63,,0.66326,1780035509.5150414,,,,,1.38901,0.70948,,,,1.69722,,,,,926.155632597,,1.35215,0.00016138917321054225,1.90095,0.00016138917321054225,,,1.44117,,,,,,0.00016138917321054225,,1.56737,0.58577,,,0.37684,,,,distill,1337,distill_seed1337,63
,64,,0.67541,1780035522.015972,,,,,1.36858,0.68634,,,,1.69978,,,,,938.289376597,,1.345,0.0001542058970678918,1.91237,0.0001542058970678918,,,1.44591,,,,,,0.0001542058970678918,,1.58494,0.60842,,,0.38726,,,,distill,1337,distill_seed1337,64
,65,,0.67042,1780035534.6269877,,,,,1.39889,0.7036,,,,1.676,,,,,951.084713222,,1.32359,0.0001471196253376445,1.91012,0.0001471196253376445,,,1.41787,,,,,,0.0001471196253376445,,1.58126,0.62035,,,0.38152,,,,distill,1337,distill_seed1337,65
,66,,0.66447,1780035548.7641263,,,,,1.38955,0.67533,,,,1.67467,,,,,967.345520916,,1.30718,0.0001401373513144622,1.90519,0.0001401373513144622,,,1.4161,,,,,,0.0001401373513144622,,1.57078,0.61947,,,0.37505,,,,distill,1337,distill_seed1337,66
,67,,0.68176,1780035563.426614,,,,,1.36858,0.69695,,,,1.67854,,,,,979.968516322,,1.29299,0.00013326596565982546,1.88186,0.00013326596565982546,,,1.4131,,,,,,0.00013326596565982546,,1.55882,0.62865,,,0.38834,,,,distill,1337,distill_seed1337,67
,68,,0.6803,1780035575.929913,,,,,1.36776,0.69427,,,,1.67944,,,,,995.127617697,,1.30683,0.0001265122496017831,1.89582,0.0001265122496017831,,,1.41922,,,,,,0.0001265122496017831,,1.57248,0.6243,,,0.38799,,,,distill,1337,distill_seed1337,68
,69,,0.6732,1780035592.6606047,,,,,1.36024,0.70278,,,,1.68251,,,,,1009.157220116,,1.30305,0.00011988286824269823,1.902,0.00011988286824269823,,,1.40954,,,,,,0.00011988286824269823,,1.57873,0.6117,,,0.382,,,,distill,1337,distill_seed1337,69
,70,,0.67007,1780035605.3555098,,,,,1.38025,0.69928,,,,1.67491,,,,,1021.73169075,,1.29439,0.00011338436398159763,1.89942,0.00011338436398159763,,,1.40198,,,,,,0.00011338436398159763,,1.56169,0.6032,,,0.38379,,,,distill,1337,distill_seed1337,70
,71,,0.67482,1780035617.6500618,,,,,1.35801,0.70024,,,,1.66703,,,,,1034.035798787,,1.29228,0.00010702315005761298,1.89825,0.00010702315005761298,,,1.39251,,,,,,0.00010702315005761298,,1.56526,0.61204,,,0.38503,,,,distill,1337,distill_seed1337,71
,72,,0.67664,1780035629.8542838,,,,,1.33149,0.67713,,,,1.66705,,,,,1046.307015713,,1.28666,0.0001008055042208883,1.89311,0.0001008055042208883,,,1.39995,,,,,,0.0001008055042208883,,1.56521,0.63544,,,0.38965,,,,distill,1337,distill_seed1337,72
,73,,0.68449,1780035644.194233,,,,,1.35133,0.72553,,,,1.65672,,,,,1060.819774124,,1.28207,9.473756253719929e-05,1.88127,9.473756253719929e-05,,,1.39208,,,,,,9.473756253719929e-05,,1.54844,0.62173,,,0.39221,,,,distill,1337,distill_seed1337,73
,74,,0.67492,1780035656.5230641,,,,,1.34352,0.69389,,,,1.64701,,,,,1072.873411313,,1.2739,8.882531333239618e-05,1.87929,8.882531333239618e-05,,,1.37677,,,,,,8.882531333239618e-05,,1.55522,0.61927,,,0.38938,,,,distill,1337,distill_seed1337,74
,75,,0.67402,1780035668.6047864,,,,,1.34965,0.70485,,,,1.65842,,,,,1085.035109789,,1.27022,8.307459128264955e-05,1.89242,8.307459128264955e-05,,,1.38984,,,,,,8.307459128264955e-05,,1.55946,0.61228,,,0.38826,,,,distill,1337,distill_seed1337,75
,76,,0.68458,1780035681.136495,,,,,1.34654,0.70346,,,,1.65389,,,,,1097.60363281,,1.2708,7.749107165632952e-05,1.88794,7.749107165632952e-05,,,1.38352,,,,,,7.749107165632952e-05,,1.56173,0.63066,,,0.39067,,,,distill,1337,distill_seed1337,76
,77,,0.68081,1780035693.3204584,,,,,1.35073,0.68599,,,,1.65583,,,,,1109.851157456,,1.27172,7.208026471320073e-05,1.88162,7.208026471320073e-05,,,1.37398,,,,,,7.208026471320073e-05,,1.56387,0.6281,,,0.39063,,,,distill,1337,distill_seed1337,77
,78,,0.68034,1780035705.810884,,,,,1.32352,0.70061,,,,1.65647,,,,,1122.117201147,,1.26387,6.684751026646124e-05,1.89373,6.684751026646124e-05,,,1.38862,,,,,,6.684751026646124e-05,,1.56548,0.61941,,,0.3907,,,,distill,1337,distill_seed1337,78
,79,,0.68488,1780035718.8937173,,,,,1.32285,0.71054,,,,1.64855,,,,,1135.58444119,,1.25455,6.179797241299223e-05,1.8869,6.179797241299223e-05,,,1.37387,,,,,,6.179797241299223e-05,,1.55966,0.62367,,,0.39581,,,,distill,1337,distill_seed1337,79
,80,,0.6946,1780035731.4390392,,,,,1.31209,0.71154,,,,1.64395,,,,,1148.099477195,,1.24797,5.693663443701663e-05,1.88632,5.693663443701663e-05,,,1.38332,,,,,,5.693663443701663e-05,,1.56011,0.6347,,,0.3958,,,,distill,1337,distill_seed1337,80
