results,val/dfl_loss,curves/Recall-Confidence(B)_table,train_batch6570,F1_curve,curves/Precision-Confidence(B)_table,val_batch1_pred,metrics/mAP50-95(B),train/cls_loss,model/GFLOPs,train_batch6572,P_curve,lr/pg1,PR_curve,train_batch1,val/cls_loss,val_batch0_pred,metrics/precision(B),lr/pg2,R_curve,_step,_runtime,curves/Precision-Recall(B)_table,metrics/recall(B),labels,train/box_loss,train_batch0,train/dfl_loss,confusion_matrix,val_batch1_labels,val_batch2_labels,_timestamp,train_batch2,model/speed_PyTorch(ms),confusion_matrix_normalized,val_batch2_pred,metrics/mAP50(B),model/parameters,lr/pg0,val_batch0_labels,curves/F1-Confidence(B)_table,val/box_loss,train_batch6571,variant,seed,run_name,epoch
,7.21088,,,,,,0.41758,0.93786,,,,0.00016138917321054225,,,1.16747,,0.72768,0.00016138917321054225,,63,2194.620257577,,0.63979,,4.01876,,5.22554,,,,1780010999.233402,,,,,0.70102,,0.00016138917321054225,,,5.88597,,sizeaware,42,sizeaware_seed42,63
,7.29597,,,,,,0.4175,0.93096,,,,0.0001542058970678918,,,1.17049,,0.74763,0.0001542058970678918,,64,2230.409217274,,0.62742,,3.99706,,5.21204,,,,1780011034.8872504,,,,,0.70594,,0.0001542058970678918,,,5.94894,,sizeaware,42,sizeaware_seed42,64
,7.23463,,,,,,0.41904,0.92413,,,,0.0001471196253376445,,,1.15866,,0.72406,0.0001471196253376445,,65,2265.839837085,,0.6482,,3.92423,,5.18192,,,,1780011068.7790596,,,,,0.70727,,0.0001471196253376445,,,6.02039,,sizeaware,42,sizeaware_seed42,65
,7.19599,,,,,,0.41622,0.90934,,,,0.0001401373513144622,,,1.17442,,0.73807,0.0001401373513144622,,66,2299.199343414,,0.61849,,3.95517,,5.19574,,,,1780011104.1330466,,,,,0.69782,,0.0001401373513144622,,,5.92305,,sizeaware,42,sizeaware_seed42,66
,7.31792,,,,,,0.41662,0.89351,,,,0.00013326596565982546,,,1.16783,,0.71827,0.00013326596565982546,,67,2333.333815388,,0.6418,,3.86068,,5.12427,,,,1780011137.5609236,,,,,0.69854,,0.00013326596565982546,,,5.96162,,sizeaware,42,sizeaware_seed42,67
,7.2839,,,,,,0.42121,0.90604,,,,0.0001265122496017831,,,1.16062,,0.70925,0.0001265122496017831,,68,2367.047006988,,0.65672,,3.86288,,5.12794,,,,1780011171.6809545,,,,,0.70229,,0.0001265122496017831,,,5.93724,,sizeaware,42,sizeaware_seed42,68
,7.27255,,,,,,0.42269,0.88398,,,,0.00011988286824269823,,,1.16969,,0.73253,0.00011988286824269823,,69,2400.640896264,,0.64304,,3.73542,,5.10914,,,,1780011205.4210076,,,,,0.70738,,0.00011988286824269823,,,5.89372,,sizeaware,42,sizeaware_seed42,69
,7.29314,,,,,,0.42593,0.87405,,,,0.00011338436398159763,,,1.14462,,0.72921,0.00011338436398159763,,70,2435.523260415,,0.65118,,3.73879,,5.05171,,,,1780011240.4478927,,,,,0.70723,,0.00011338436398159763,,,5.9229,,sizeaware,42,sizeaware_seed42,70
,7.36342,,,,,,0.41959,0.86004,,,,0.00010702315005761298,,,1.16903,,0.73198,0.00010702315005761298,,71,2471.575181465,,0.64061,,3.6963,,5.03921,,,,1780011273.8506868,,,,,0.70178,,0.00010702315005761298,,,5.9889,,sizeaware,42,sizeaware_seed42,71
,7.31494,,,,,,0.42374,0.85822,,,,0.0001008055042208883,,,1.16509,,0.73879,0.0001008055042208883,,72,2504.929348651,,0.63389,,3.70911,,5.02188,,,,1780011309.839169,,,,,0.70657,,0.0001008055042208883,,,5.94268,,sizeaware,42,sizeaware_seed42,72
,7.46859,,,,,,0.42296,0.85034,,,,9.473756253719929e-05,,,1.13912,,0.70212,9.473756253719929e-05,,73,2538.168816657,,0.66092,,3.66411,,4.97503,,,,1780011343.1432047,,,,,0.70814,,9.473756253719929e-05,,,6.00687,,sizeaware,42,sizeaware_seed42,73
,7.39602,,,,,,0.42338,0.854,,,,8.882531333239618e-05,,,1.14079,,0.71156,8.882531333239618e-05,,74,2573.613368029,,0.66481,,3.70928,,5.03126,,,,1780011376.4059107,,,,,0.71537,,8.882531333239618e-05,,,5.97497,,sizeaware,42,sizeaware_seed42,74
,7.40842,,,,,,0.4208,0.82233,,,,8.307459128264955e-05,,,1.1358,,0.72154,8.307459128264955e-05,,75,2608.521302196,,0.66431,,3.60612,,4.93194,,,,1780011413.1560204,,,,,0.7182,,8.307459128264955e-05,,,6.01832,,sizeaware,42,sizeaware_seed42,75
,7.45919,,,,,,0.42288,0.82512,,,,7.749107165632952e-05,,,1.14235,,0.73931,7.749107165632952e-05,,76,2642.14865563,,0.65337,,3.55709,,4.90307,,,,1780011446.7177405,,,,,0.71345,,7.749107165632952e-05,,,5.99842,,sizeaware,42,sizeaware_seed42,76
,7.52922,,,,,,0.42266,0.80501,,,,7.208026471320073e-05,,,1.12601,,0.7084,7.208026471320073e-05,,77,2678.524135006,,0.67778,,3.54842,,4.92212,,,,1780011483.3147619,,,,,0.71541,,7.208026471320073e-05,,,6.04809,,sizeaware,42,sizeaware_seed42,77
