train_batch2,train/dfl_loss,PR_curve,val/dfl_loss,val_batch2_pred,train_batch1,F1_curve,lr/pg0,metrics/mAP50-95(B),model/parameters,train/box_loss,val_batch0_labels,val_batch2_labels,_step,results,R_curve,_runtime,labels,_timestamp,metrics/recall(B),model/speed_PyTorch(ms),curves/Precision-Confidence(B)_table,confusion_matrix,metrics/mAP50(B),lr/pg2,val/box_loss,curves/F1-Confidence(B)_table,lr/pg1,curves/Recall-Confidence(B)_table,model/GFLOPs,val_batch1_pred,metrics/precision(B),confusion_matrix_normalized,train/cls_loss,val_batch0_pred,curves/Precision-Recall(B)_table,train_batch0,P_curve,val_batch1_labels,val/cls_loss,variant,seed,run_name,epoch
,1.62078,,2.34543,,,,0.00019094925292669846,0.40998,,1.02047,,,59,,,2897.302041335,,1779998506.648888,0.66847,,,,0.70281,0.00019094925292669846,1.57928,,0.00019094925292669846,,,,0.71169,,0.80385,,,,,,1.19948,p2,42,p2_seed42,59
,1.62677,,2.36116,,,,0.0001834497012552908,0.40691,,1.0186,,,60,,,2944.83393286,,1779998555.9957914,0.65516,,,,0.70377,0.0001834497012552908,1.55435,,0.0001834497012552908,,,,0.73039,,0.79866,,,,,,1.19781,p2,42,p2_seed42,60
,1.63859,,2.33003,,,,0.00017601829389220065,0.41647,,1.01855,,,61,,,2993.324142301,,1779998604.5866485,0.64637,,,,0.70044,0.00017601829389220065,1.54912,,0.00017601829389220065,,,,0.7451,,0.81308,,,,,,1.18216,p2,42,p2_seed42,61
,1.61034,,2.36662,,,,0.00016866236473929043,0.41323,,0.99451,,,62,,,3040.271723189,,1779998651.913421,0.6889,,,,0.70851,0.00016866236473929043,1.55026,,0.00016866236473929043,,,,0.7097,,0.78486,,,,,,1.18424,p2,42,p2_seed42,62
,1.59689,,2.36307,,,,0.00016138917321054225,0.40275,,0.986,,,63,,,3087.427193021,,1779998698.865604,0.65312,,,,0.6969,0.00016138917321054225,1.55429,,0.00016138917321054225,,,,0.72311,,0.77735,,,,,,1.22388,p2,42,p2_seed42,63
,1.5823,,2.36287,,,,0.0001542058970678918,0.40364,,0.97447,,,64,,,3134.525141517,,1779998746.0121243,0.66654,,,,0.6903,0.0001542058970678918,1.54358,,0.0001542058970678918,,,,0.70669,,0.76204,,,,,,1.21317,p2,42,p2_seed42,64
,1.57125,,2.3558,,,,0.0001471196253376445,0.41258,,0.9558,,,65,,,3181.64719144,,1779998793.1602373,0.66382,,,,0.69731,0.0001471196253376445,1.55142,,0.0001471196253376445,,,,0.73009,,0.75629,,,,,,1.18587,p2,42,p2_seed42,65
,1.5779,,2.41403,,,,0.0001401373513144622,0.41033,,0.96185,,,66,,,3229.088126901,,1779998840.2299328,0.65267,,,,0.70333,0.0001401373513144622,1.57005,,0.0001401373513144622,,,,0.76242,,0.743,,,,,,1.21564,p2,42,p2_seed42,66
,1.54859,,2.38507,,,,0.00013326596565982546,0.40785,,0.94161,,,67,,,3277.162075398,,1779998887.6656551,0.64389,,,,0.69636,0.00013326596565982546,1.55998,,0.00013326596565982546,,,,0.74107,,0.72851,,,,,,1.21328,p2,42,p2_seed42,67
,1.55571,,2.41851,,,,0.0001265122496017831,0.40844,,0.94479,,,68,,,3325.285201196,,1779998936.5529344,0.6715,,,,0.69505,0.0001265122496017831,1.56977,,0.0001265122496017831,,,,0.71703,,0.74014,,,,,,1.2352,p2,42,p2_seed42,68
,1.54024,,2.41512,,,,0.00011988286824269823,0.41504,,0.92548,,,69,,,3372.665499157,,1779998983.974087,0.66567,,,,0.70257,0.00011988286824269823,1.57945,,0.00011988286824269823,,,,0.73084,,0.72466,,,,,,1.19654,p2,42,p2_seed42,69
,1.52698,,2.42611,,,,0.00011338436398159763,0.41595,,0.91243,,,70,,,3422.438736222,,1779999031.3123846,0.67034,,,,0.70483,0.00011338436398159763,1.58957,,0.00011338436398159763,,,,0.71726,,0.71522,,,,,,1.21792,p2,42,p2_seed42,70
,1.51874,,2.44041,,,,0.00010702315005761298,0.40964,,0.89979,,,71,,,3470.01433579,,1779999081.0979137,0.65346,,,,0.6991,0.00010702315005761298,1.58835,,0.00010702315005761298,,,,0.74992,,0.70235,,,,,,1.2175,p2,42,p2_seed42,71
,1.51187,,2.43939,,,,0.0001008055042208883,0.40259,,0.89608,,,72,,,3517.907927168,,1779999128.5503907,0.6734,,,,0.69486,0.0001008055042208883,1.57695,,0.0001008055042208883,,,,0.73472,,0.6948,,,,,,1.20321,p2,42,p2_seed42,72
,1.49514,,2.44035,,,,9.473756253719929e-05,0.41488,,0.88283,,,73,,,3566.916145162,,1779999176.5278282,0.68061,,,,0.7061,9.473756253719929e-05,1.57786,,9.473756253719929e-05,,,,0.71825,,0.69227,,,,,,1.20954,p2,42,p2_seed42,73
,1.51626,,2.46069,,,,8.882531333239618e-05,0.41735,,0.89726,,,74,,,3615.764429325,,1779999226.9320824,0.67115,,,,0.70701,8.882531333239618e-05,1.58614,,8.882531333239618e-05,,,,0.73908,,0.69524,,,,,,1.21148,p2,42,p2_seed42,74
,1.48824,,2.46098,,,,8.307459128264955e-05,0.41107,,0.87619,,,75,,,3662.748002642,,1779999274.25987,0.69005,,,,0.70281,8.307459128264955e-05,1.58608,,8.307459128264955e-05,,,,0.71621,,0.66688,,,,,,1.20445,p2,42,p2_seed42,75
